# gruntz match baseline - generated by scripts/match_status.py. DO NOT hand-edit.
#   units rows:     unit  n_functions  matched   (matched = at 100% fuzzy now;
#                    the README's per-module 'exact' uses objdiff's byte-exact count)
#   function rows:  unit  function  best_pct  cur_pct  tries  src_hash
#   best_pct = best-ever (max) objdiff fuzzy% - the REGRESSION gate (may be 100%).
#   cur_pct  = fuzzy% at THIS commit - `diff <revA> [<revB>]` two commits to see
#              the moves (e.g. unit 5->10 fns, a fn 10%->40%) while best_pct holds.
#   tries    = times this function's source fingerprint changed (how much it has
#              been worked on - high = hard to match).
#   src_hash = per-function source fingerprint (editing a fn bumps tries + resets best).
# Query: scripts/match_status.py check | status | summary | diff <revA> [<revB>]
# [units]	unit	n_functions	matched
adler32	1	1
engine_label_stubs	??0CGiantRock@@QAE@XZ	8.8889	8.8889	1	cpp:45e65336d4b5
engine_label_stubs	??0CGiantRockLogic@@QAE@XZ	20.0000	20.0000	1	cpp:45e65336d4b5
engine_label_stubs	??0CGruntCreationPoint@@QAE@XZ	0.5755	0.5755	1	cpp:45e65336d4b5
engine_label_stubs	??0CGruntPowerupSprite@@QAE@XZ	0.8696	0.8696	1	cpp:45e65336d4b5
engine_label_stubs	??0CGruntPuddle@@QAE@XZ	0.6612	0.6612	1	cpp:45e65336d4b5
engine_label_stubs	??0CGruntSelectedSprite@@QAE@XZ	0.8333	0.8333	1	cpp:45e65336d4b5
engine_label_stubs	??0CGruntStaminaSprite@@QAE@XZ	1.9048	1.9048	1	cpp:45e65336d4b5
engine_label_stubs	??0CGruntStartingPoint@@QAE@XZ	0.8081	0.8081	1	cpp:45e65336d4b5
engine_label_stubs	??0CGruntToySprite@@QAE@XZ	0.8000	0.8000	1	cpp:45e65336d4b5
engine_label_stubs	??0CGruntToyTimeSprite@@QAE@XZ	1.9048	1.9048	1	cpp:45e65336d4b5
engine_label_stubs	??0CGruntVoice@@QAE@XZ	0.7143	0.7143	1	cpp:45e65336d4b5
engine_label_stubs	??0CGruntWingzTimeSprite@@QAE@XZ	1.9048	1.9048	1	cpp:45e65336d4b5
engine_label_stubs	??0CGruntzMgr@@QAE@XZ	1.4286	1.4286	1	cpp:45e65336d4b5
engine_label_stubs	??0CGruntzMultiCommand@@QAE@XZ	13.9286	13.9286	1	cpp:45e65336d4b5
engine_label_stubs	??0CGruntzSingleCommand@@QAE@XZ	13.9286	13.9286	1	cpp:45e65336d4b5
engine_label_stubs	??0CGuardPoint@@QAE@XZ	0.7273	0.7273	1	cpp:45e65336d4b5
engine_label_stubs	??0CInGameIcon@@QAE@XZ	0.0736	0.0736	1	cpp:45e65336d4b5
engine_label_stubs	??0CInGameText@@QAE@XZ	0.5517	0.5517	1	cpp:45e65336d4b5
engine_label_stubs	??0CKitchenSlime@@QAE@XZ	0.2649	0.2649	1	cpp:45e65336d4b5
engine_label_stubs	??0CLevelTime@@QAE@XZ	0.7273	0.7273	1	cpp:45e65336d4b5
engine_label_stubs	??0CLightFx@@QAE@XZ	0.7080	0.7080	1	cpp:45e65336d4b5
engine_label_stubs	??0CMenuSparkle@@QAE@XZ	0.8421	0.8421	1	cpp:45e65336d4b5
engine_label_stubs	??0CMovingLogic@@QAE@XZ	1.9307	1.9307	1	cpp:45e65336d4b5
engine_label_stubs	??0CObjectDropper@@QAE@XZ	0.2847	0.2847	1	cpp:45e65336d4b5
engine_label_stubs	??0CParticlez@@QAE@XZ	0.8421	0.8421	1	cpp:45e65336d4b5
engine_label_stubs	??0CRainCloud@@QAE@XZ	1.8182	1.8182	1	cpp:45e65336d4b5
engine_label_stubs	??0CRollingBall@@QAE@XZ	0.2749	0.2749	1	cpp:45e65336d4b5
engine_label_stubs	??0CSBI_ImageSet@@QAE@XZ	0.2465	0.2465	1	cpp:45e65336d4b5
engine_label_stubs	??0CSecretTeleporterTrigger@@QAE@XZ	0.6612	0.6612	1	cpp:45e65336d4b5
engine_label_stubs	??0CSimpleAnimation@@QAE@XZ	0.6780	0.6780	1	cpp:45e65336d4b5
engine_label_stubs	??0CSingleAnimation@@QAE@XZ	0.9524	0.9524	1	cpp:45e65336d4b5
engine_label_stubs	??0CSingleFrameMessage@@QAE@XZ	0.7018	0.7018	1	cpp:45e65336d4b5
engine_label_stubs	??0CSpotLight@@QAE@XZ	0.4255	0.4255	1	cpp:45e65336d4b5
engine_label_stubs	??0CStaticHazard@@QAE@XZ	0.4061	0.4061	1	cpp:45e65336d4b5
engine_label_stubs	??0CStatusBarSprite@@QAE@XZ	0.8333	0.8333	1	cpp:45e65336d4b5
engine_label_stubs	??0CTeleporter@@QAE@XZ	0.7767	0.7767	1	cpp:45e65336d4b5
engine_label_stubs	??0CTileExclusiveTriggerSwitchLogic@@QAE@XZ	20.0000	20.0000	1	cpp:45e65336d4b5
engine_label_stubs	??0CTileMultiTriggerSwitchLogic@@QAE@XZ	20.0000	20.0000	1	cpp:45e65336d4b5
engine_label_stubs	??0CTileSecretTrigger@@QAE@XZ	8.8889	8.8889	1	cpp:45e65336d4b5
engine_label_stubs	??0CTileSecretTriggerLogic@@QAE@XZ	20.0000	20.0000	1	cpp:45e65336d4b5
engine_label_stubs	??0CTileSecretTriggerSwitchLogic@@QAE@XZ	20.0000	20.0000	1	cpp:45e65336d4b5
engine_label_stubs	??0CTileTimeTriggerLogic@@QAE@XZ	20.0000	20.0000	1	cpp:45e65336d4b5
engine_label_stubs	??0CTileTimeTriggerSwitchLogic@@QAE@XZ	20.0000	20.0000	1	cpp:45e65336d4b5
engine_label_stubs	??0CTileTriggerSwitch@@QAE@XZ	0.8333	0.8333	1	cpp:45e65336d4b5
engine_label_stubs	??0CTileTriggerTransition@@QAE@XZ	1.5854	1.5854	1	cpp:45e65336d4b5
engine_label_stubs	??0CTimeBomb@@QAE@XZ	0.5161	0.5161	1	cpp:45e65336d4b5
engine_label_stubs	??0CToobSpikez@@QAE@XZ	0.7547	0.7547	1	cpp:45e65336d4b5
engine_label_stubs	??0CToyPeek@@QAE@XZ	0.7407	0.7407	1	cpp:45e65336d4b5
engine_label_stubs	??0CUFO@@QAE@XZ	0.9091	0.9091	1	cpp:45e65336d4b5
engine_label_stubs	??0CWarlord@@QAE@XZ	0.1572	0.1572	1	cpp:45e65336d4b5
engine_label_stubs	??0CWarpStonePad@@QAE@XZ	1.2871	1.2871	1	cpp:45e65336d4b5
engine_label_stubs	??0CWayPoint@@QAE@XZ	0.7273	0.7273	1	cpp:45e65336d4b5
engine_label_stubs	??0UnknownClassArrays@@QAE@XZ	2.6892	2.6892	1	cpp:45e65336d4b5
engine_label_stubs	??0UnknownClassInCGruntzMgr@@QAE@XZ	3.0435	3.0435	1	cpp:45e65336d4b5
