# MANUALLY MANAGED - the admitted retail .text partition: one row per
# function START (rva) plus its structural kind. No sizes and no names:
# a row's extent is DERIVED to the next row's rva (the last row ends at
# .text's virtual end), so it spans the function's whole contribution,
# trailing jump tables included. The exact CODE size of a byte-matched
# body lives on its claim - RVA(rva, size) in src/, or the size column
# of functions_zlib.tsv. kind: (empty) body | thunk (ILT/IAT glue) |
# eh (/GX funclet band) | helper (compiler 5-byte jmp forwarder, target
# re-proven from EXE bytes) | pad (non-code fill; partition bookkeeping).
# Initially admitted from the last Ghidra analysis export; boundary
# corrections are edited here. The build never regenerates this file and
# never consults a Ghidra database.
rva	kind
0x002c93	thunk
0x002c98	thunk
0x002ca2	thunk
0x002cac	thunk
0x002cb6	thunk
0x002cbb	thunk
0x002cc5	thunk
0x002cca	thunk
0x002ccf	thunk
0x002cd4	thunk
0x002cd9	thunk
0x002cde	thunk
0x002ced	thunk
0x002cfc	thunk
0x002d01	thunk
0x002d0b	thunk
0x002d15	thunk
0x002d38	thunk
0x002d47	thunk
0x002d51	thunk
0x002d56	thunk
0x002d5b	thunk
0x002d60	thunk
0x002d65	thunk
0x002d74	thunk
0x002d88	thunk
0x002d8d	thunk
0x002d92	thunk
0x002d9c	thunk
0x002da1	thunk
0x002da6	thunk
0x002db5	thunk
0x002dba	thunk
0x002dbf	thunk
0x002dc9	thunk
0x002dd3	thunk
0x002dd8	thunk
0x002de7	thunk
0x002dec	thunk
0x002df1	thunk
0x002df6	thunk
0x002dfb	thunk
0x002e05	thunk
0x002e0a	thunk
0x002e14	thunk
0x002e19	thunk
0x002e1e	thunk
0x002e28	thunk
0x002e2d	thunk
0x002e32	thunk
0x002e37	thunk
0x002e3c	thunk
0x002e41	thunk
0x002e50	thunk
0x002e55	thunk
0x002e5f	thunk
0x002e64	thunk
0x002e69	thunk
0x002e6e	thunk
0x002e73	thunk
0x002e82	thunk
0x002e87	thunk
0x002e8c	thunk
0x002e91	thunk
0x002e9b	thunk
0x002ea0	thunk
0x002eaa	thunk
0x002eaf	thunk
0x002eb4	thunk
0x002eb9	thunk
0x002ec3	thunk
0x002ec8	thunk
0x002ecd	thunk
0x002edc	thunk
0x002ee1	thunk
0x002eeb	thunk
0x002ef5	thunk
0x002efa	thunk
0x002eff	thunk
0x002f0e	thunk
0x002f13	thunk
0x002f18	thunk
0x002f1d	thunk
0x002f27	thunk
0x002f31	thunk
0x002f40	thunk
0x002f4a	thunk
0x002f5e	thunk
0x002f68	thunk
0x002f77	thunk
0x002f7c	thunk
0x002f81	thunk
0x002f8b	thunk
0x002f90	thunk
0x002f9a	thunk
0x002fa4	thunk
0x002fb3	thunk
0x002fb8	thunk
0x002fc7	thunk
0x002fcc	thunk
0x002fd1	thunk
0x002fef	thunk
0x002ff4	thunk
0x002ffe	thunk
0x003008	thunk
0x00300d	thunk
0x00301c	thunk
0x003026	thunk
0x00302b	thunk
0x003030	thunk
0x003035	thunk
0x00303a	thunk
0x003049	thunk
0x003053	thunk
0x00305d	thunk
0x003067	thunk
0x00306c	thunk
0x00307b	thunk
0x003085	thunk
0x00308a	thunk
0x00309e	thunk
0x0030a3	thunk
0x0030ad	thunk
0x0030b2	thunk
0x0030c1	thunk
0x0030cb	thunk
0x0030d0	thunk
0x0030d5	thunk
0x0030df	thunk
0x0030e4	thunk
0x0030e9	thunk
0x0030f3	thunk
0x003102	thunk
0x003107	thunk
0x00310c	thunk
0x003111	thunk
0x003125	thunk
0x00313e	thunk
0x003143	thunk
0x003148	thunk
0x003152	thunk
0x003157	thunk
0x00315c	thunk
0x003161	thunk
0x00317f	thunk
0x00318e	thunk
0x003193	thunk
0x00319d	thunk
0x0031ac	thunk
0x0031b1	thunk
0x0031c0	thunk
0x0031cf	thunk
0x0031d9	thunk
0x0031de	thunk
0x0031f7	thunk
0x0031fc	thunk
0x003201	thunk
0x003206	thunk
0x00320b	thunk
0x003210	thunk
0x00321a	thunk
0x003224	thunk
0x003229	thunk
0x003238	thunk
0x00323d	thunk
0x003242	thunk
0x00324c	thunk
0x003260	thunk
0x003265	thunk
0x00326a	thunk
0x00326f	thunk
0x003274	thunk
0x003279	thunk
0x00327e	thunk
0x003283	thunk
0x003288	thunk
0x00328d	thunk
0x00329c	thunk
0x0032a1	thunk
0x0032a6	thunk
0x0032ab	thunk
0x0032b5	thunk
0x0032d3	thunk
0x0032d8	thunk
0x0032dd	thunk
0x0032e2	thunk
0x0032e7	thunk
0x0032f6	thunk
0x003305	thunk
0x00330a	thunk
0x00330f	thunk
0x003319	thunk
0x003332	thunk
0x00333c	thunk
0x003346	thunk
0x00334b	thunk
0x003350	thunk
0x003355	thunk
0x003378	thunk
0x003382	thunk
0x003387	thunk
0x003391	thunk
0x003396	thunk
0x00339b	thunk
0x0033a0	thunk
0x0033a5	thunk
0x0033af	thunk
0x0033b9	thunk
0x0033be	thunk
0x0033c8	thunk
0x0033d2	thunk
0x0033dc	thunk
0x0033e1	thunk
0x0033e6	thunk
0x0033eb	thunk
0x0033f5	thunk
0x0033fa	thunk
0x0033ff	thunk
0x003404	thunk
0x003409	thunk
0x00340e	thunk
0x003413	thunk
0x00342c	thunk
0x003431	thunk
0x003436	thunk
0x00343b	thunk
0x003445	thunk
0x00344a	thunk
0x00345e	thunk
0x003463	thunk
0x003468	thunk
0x003472	thunk
0x003477	thunk
0x003486	thunk
0x003495	thunk
0x00349a	thunk
0x0034a9	thunk
0x0034b8	thunk
0x0034bd	thunk
0x0034c2	thunk
0x0034d1	thunk
0x0034d6	thunk
0x0034db	thunk
0x0034e0	thunk
0x0034f4	thunk
0x003508	thunk
0x00350d	thunk
0x003512	thunk
0x003521	thunk
0x003526	thunk
0x00352b	thunk
0x00353a	thunk
0x00353f	thunk
0x003544	thunk
0x003549	thunk
0x00354e	thunk
0x003553	thunk
0x003558	thunk
0x003562	thunk
0x003567	thunk
0x00356c	thunk
0x003576	thunk
0x003585	thunk
0x00358a	thunk
0x003599	thunk
0x00359e	thunk
0x0035a8	thunk
0x0035b7	thunk
0x0035bc	thunk
0x0035c6	thunk
0x0035cb	thunk
0x0035d0	thunk
0x0035d5	thunk
0x0035da	thunk
0x0035df	thunk
0x0035e9	thunk
0x0035ee	thunk
0x0035f8	thunk
0x0035fd	thunk
0x003602	thunk
0x003611	thunk
0x00361b	thunk
0x003620	thunk
0x00362a	thunk
0x003634	thunk
0x003639	thunk
0x00363e	thunk
0x003648	thunk
0x003652	thunk
0x00365c	thunk
0x003661	thunk
0x003666	thunk
0x003670	thunk
0x00367f	thunk
0x003689	thunk
0x003693	thunk
0x003698	thunk
0x00369d	thunk
0x0036a2	thunk
0x0036b1	thunk
0x0036b6	thunk
0x0036c0	thunk
0x0036c5	thunk
0x0036d4	thunk
0x0036e3	thunk
0x0036e8	thunk
0x0036ed	thunk
0x0036f2	thunk
0x003706	thunk
0x003715	thunk
0x003724	thunk
0x003729	thunk
0x00373d	thunk
0x003747	thunk
0x003751	thunk
0x003756	thunk
0x003760	thunk
0x003765	thunk
0x00376f	thunk
0x003774	thunk
0x00377e	thunk
0x003783	thunk
0x003788	thunk
0x003797	thunk
0x00379c	thunk
0x0037a1	thunk
0x0037a6	thunk
0x0037b0	thunk
0x0037c9	thunk
0x0037ce	thunk
0x0037d3	thunk
0x0037d8	thunk
0x0037dd	thunk
0x0037e2	thunk
0x0037e7	thunk
0x0037f6	thunk
0x0037fb	thunk
0x003805	thunk
0x00380f	thunk
0x00381e	thunk
0x003828	thunk
0x00382d	thunk
0x003832	thunk
0x003846	thunk
0x003855	thunk
0x00385a	thunk
0x00385f	thunk
0x003869	thunk
0x00386e	thunk
0x003873	thunk
0x003878	thunk
0x00387d	thunk
0x003882	thunk
0x003887	thunk
0x0038a5	thunk
0x0038aa	thunk
0x0038b4	thunk
0x0038b9	thunk
0x0038c3	thunk
0x0038c8	thunk
0x0038cd	thunk
0x0038d2	thunk
0x0038d7	thunk
0x0038dc	thunk
0x0038e1	thunk
0x0038e6	thunk
