category	rva	size	status	raw_name	normalized_name	api_evidence
winapi	0x07be60	542	tracked	?LoadGruntResurrectTuning@EngineLabelBacklog@@YAXXZ	?LoadGruntResurrectTuning@EngineLabelBacklog@@YAXXZ	PtInRect
winapi	0x080ac0	243	tracked	?ShowError@CGruntzApp@@UAEXXZ	?ShowError@CGruntzApp@@UAEXXZ	DialogBoxParamA
winapi	0x080c00	72	tracked	?ShowMessage@CGruntzApp@@QAEXPADPAX@Z	?ShowMessage@CGruntzApp@@QAEXPADPAUHWND__@@@Z	DialogBoxParamA
winapi	0x080c70	85	tracked	?ErrorDialogProc@CGruntzApp@@SGHPAXIIJ@Z	?ErrorDialogProc@CGruntzApp@@SGHPAUHWND__@@IIJ@Z	EndDialog;SetDlgItemTextA
directx-wrapper-caller	0x083450	6445	tracked	?Init@RezSync@@QAEXXZ	?Init@RezSync@@QAEXXZ	calls 0x132ce0 (DirectInputCreateA)
winapi	0x083450	6445	tracked	?Init@RezSync@@QAEXXZ	?Init@RezSync@@QAEXXZ	GetTickCount;timeGetTime
winapi	0x0861e0	197	greenfield	FUN_004861e0	FUN_004861e0	timeGetTime
winapi	0x0862f0	15706	greenfield	FUN_004862f0	FUN_004862f0	PostMessageA;wsprintfA
winapi	0x08c380	30	greenfield	FUN_0048c380	FUN_0048c380	SetRect
winapi	0x08e3a0	148	greenfield	FUN_0048e3a0	FUN_0048e3a0	SetRect
winapi	0x08e470	80	tracked	?HandleDebugPosition@RezMgr@@QAEHXZ	?HandleDebugPosition@RezMgr@@QAEHXZ	PostMessageA
winapi	0x08e4e0	370	tracked	?WarpDialogProc@@YGHPAXIIJ@Z	?WarpDialogProc@@YGHPAXIIJ@Z	EndDialog;IsDlgButtonChecked
winapi	0x08e6c0	133	greenfield	FUN_0048e6c0	FUN_0048e6c0	SendMessageA
directx	0x08eca0	356	tracked	?InitializeLobbyConnectionSettings@CGruntzMgr@@QAEHXZ	?InitializeLobbyConnectionSettings@CGruntzMgr@@QAEHXZ	DPLAYX.#4_DirectPlayLobbyCreate
winapi	0x08ee70	124	greenfield	FUN_0048ee70	FUN_0048ee70	MessageBoxA
winapi	0x08f120	360	greenfield	FUN_0048f120	FUN_0048f120	CreateProcessA;RegQueryValueA
winapi	0x08f340	246	greenfield	FUN_0048f340	FUN_0048f340	PostMessageA
winapi	0x08f480	73	greenfield	FUN_0048f480	FUN_0048f480	PostMessageA
winapi	0x08f530	189	greenfield	FUN_0048f530	FUN_0048f530	PostMessageA
winapi	0x08f620	81	tracked	?PerFrameTick@CGruntzMgr@@QAEXXZ	?PerFrameTick@CGruntzMgr@@QAEXXZ	timeGetTime
winapi	0x08ff30	458	tracked	?BuildMoviePath@CGruntzMgr@@QAE?AVCString@@H@Z	?BuildMoviePath@CGruntzMgr@@QAE?AVCString@@H@Z	GetCurrentDirectoryA
winapi	0x090220	47	greenfield	FUN_00490220	FUN_00490220	PostMessageA
winapi	0x090260	318	greenfield	FUN_00490260	FUN_00490260	DialogBoxParamA
winapi	0x090860	211	greenfield	FUN_00490860	FUN_00490860	CreateProcessA;wsprintfA
winapi	0x091670	684	tracked	?MakeRezPath@RezMgr@@QAEHXZ	?MakeRezPath@RezMgr@@QAEHXZ	GetCurrentDirectoryA
winapi	0x092710	119	greenfield	FUN_00492710	FUN_00492710	PostMessageA
winapi	0x092ab0	525	greenfield	FUN_00492ab0	FUN_00492ab0	EndDialog
winapi	0x092f00	495	greenfield	FUN_00492f00	FUN_00492f00	PostMessageA
winapi	0x094bc0	49	greenfield	FUN_00494bc0	FUN_00494bc0	ValidateRect
winapi	0x0953f0	55	greenfield	FUN_004953f0	FUN_004953f0	PostMessageA
winapi	0x09dff0	140	greenfield	FUN_0049dff0	FUN_0049dff0	EndDialog
winapi	0x09e2d0	132	greenfield	FUN_0049e2d0	FUN_0049e2d0	SetDlgItemTextA
winapi	0x09e390	579	greenfield	FUN_0049e390	FUN_0049e390	EndDialog;PostMessageA
winapi	0x09ea60	360	greenfield	FUN_0049ea60	FUN_0049ea60	IntersectRect
