rva,kind,interval_unit,bytes
0x000242a0,body,gruntzcmdmgr,51 b9 d0 b5 62 00 e8 bc 06 19 00 c3 90 90 90 90
0x00024310,ret-const,gruntzcmdmgr,b8 01 00 00 00 c3 90 90 90 90 90 90 90 90 90 90
0x000243a0,ret-const,gruntzcmdmgr,b8 01 00 00 00 c3 90 90 90 90 90 90 90 90 90 90
0x000243e0,body,gruntzcmdmgr,51 b9 40 b6 62 00 e8 7c 05 19 00 c3 90 90 90 90
0x0002c670,stdcall-stub,battlezmapconfig,b8 01 00 00 00 c2 04 00 90 90 90 90 90 90 90 90
0x00030b00,stdcall-stub,battlezmapconfig,b8 01 00 00 00 c2 18 00 90 90 90 90 90 90 90 90
0x0003a910,body,?,a1 bc f3 6b 00 8b 49 38 50 81 c1 a0 01 00 00 e8
0x0003c500,ret-const,animworkerhandlers,b8 01 00 00 00 c3 90 90 90 90 90 90 90 90 90 90
0x0003c820,body,animworkerhandlers,8b 44 24 04 8b 54 24 08 56 8b 48 08 8b 72 08 33
0x0003e500,body,?,33 c0 c3 90 90 90 90 90 90 90 90 90 90 90 90 90
0x00040c10,body,wormhole,33 c0 c3 90 90 90 90 90 90 90 90 90 90 90 90 90
0x00062b40,body,gruntentrancearrival,a1 8c 55 64 00 89 81 38 04 00 00 b8 01 00 00 00
0x0006f2f0,body,?,81 ec a8 02 00 00 8b 8c 24 b4 02 00 00 53 55 56
0x0007f160,body,grunthealthsprite,8b 44 24 04 8b 80 ec 03 00 00 c2 04 00 90 90 90
0x00080d60,body,?,8b 41 04 85 c0 74 0d 8b 41 08 85 c0 74 06 b8 01
0x00080d90,body,?,33 c0 c2 0c 00 90 90 90 90 90 90 90 90 90 90 90
0x00080db0,ret-void,?,c3 90 90 90 90 90 90 90 90 90 90 90 90 90 90 90
0x00083300,body,?,8b 41 30 85 c0 74 0d 8b 41 2c 85 c0 74 06 b8 01
0x00085460,body,rezsync,6a 0a e8 00 f4 12 00 c3 90 90 90 90 90 90 90 90
0x00085560,body,?,8b 51 04 33 c0 85 d2 0f 95 c0 c3 90 90 90 90 90
0x00085580,body,?,33 c0 c2 0c 00 90 90 90 90 90 90 90 90 90 90 90
0x0008c4f0,body,gruntzmgr,33 c0 c3 90 90 90 90 90 90 90 90 90 90 90 90 90
0x0008c510,stdcall-stub,gruntzmgr,b8 01 00 00 00 c2 04 00 90 90 90 90 90 90 90 90
0x0008c530,stdcall-stub,gruntzmgr,b8 01 00 00 00 c2 04 00 90 90 90 90 90 90 90 90
0x0008c550,body,gruntzmgr,33 c0 c2 08 00 90 90 90 90 90 90 90 90 90 90 90
0x0008c570,body,gruntzmgr,33 c0 c2 08 00 90 90 90 90 90 90 90 90 90 90 90
0x0008c590,body,gruntzmgr,33 c0 c2 08 00 90 90 90 90 90 90 90 90 90 90 90
0x0008c5b0,body,gruntzmgr,33 c0 c2 0c 00 90 90 90 90 90 90 90 90 90 90 90
0x0008c5d0,body,gruntzmgr,33 c0 c2 0c 00 90 90 90 90 90 90 90 90 90 90 90
0x0008c5f0,body,gruntzmgr,33 c0 c2 0c 00 90 90 90 90 90 90 90 90 90 90 90
0x0008c630,body,gruntzmgr,33 c0 c2 0c 00 90 90 90 90 90 90 90 90 90 90 90
0x0008c650,body,gruntzmgr,33 c0 c2 0c 00 90 90 90 90 90 90 90 90 90 90 90
0x0008c670,body,gruntzmgr,33 c0 c2 0c 00 90 90 90 90 90 90 90 90 90 90 90
0x0008c690,body,gruntzmgr,33 c0 c3 90 90 90 90 90 90 90 90 90 90 90 90 90
0x0008c6b0,body,gruntzmgr,33 c0 c3 90 90 90 90 90 90 90 90 90 90 90 90 90
0x0008c6d0,ret-const,gruntzmgr,b8 01 00 00 00 c3 90 90 90 90 90 90 90 90 90 90
0x0008c6f0,ret-const,gruntzmgr,b8 01 00 00 00 c3 90 90 90 90 90 90 90 90 90 90
0x0008c930,body,gruntzmgr,33 c0 c3 90 90 90 90 90 90 90 90 90 90 90 90 90
0x0008c950,body,gruntzmgr,33 c0 c3 90 90 90 90 90 90 90 90 90 90 90 90 90
0x0008cee0,ret-const,gruntzmgr,b8 09 00 00 00 c3 90 90 90 90 90 90 90 90 90 90
0x0008cfb0,ret-const,gruntzmgr,b8 0e 00 00 00 c3 90 90 90 90 90 90 90 90 90 90
0x0008d080,ret-const,gruntzmgr,b8 07 00 00 00 c3 90 90 90 90 90 90 90 90 90 90
0x0008d1e0,ret-const,gruntzmgr,b8 11 00 00 00 c3 90 90 90 90 90 90 90 90 90 90
0x0008d200,body,gruntzmgr,33 c0 c3 90 90 90 90 90 90 90 90 90 90 90 90 90
0x0008d220,body,gruntzmgr,8b 81 20 05 00 00 8b 40 10 c3 90 90 90 90 90 90
0x0008f320,body,gruntzmgr,33 c0 c3 90 90 90 90 90 90 90 90 90 90 90 90 90
0x00091570,ret-void,gruntzmgr,c3 90 90 90 90 90 90 90 90 90 90 90 90 90 90 90
0x00091590,ret-void,gruntzmgr,c3 90 90 90 90 90 90 90 90 90 90 90 90 90 90 90
0x000915b0,stdcall-stub,gruntzmgr,c2 04 00 90 90 90 90 90 90 90 90 90 90 90 90 90
0x00091e00,stdcall-stub,gruntzmgr,c2 04 00 90 90 90 90 90 90 90 90 90 90 90 90 90
0x000942e0,body,?,68 58 11 61 00 68 48 11 61 00 e8 81 b5 08 00 83
0x00094310,body,?,a1 10 55 64 00 85 c0 74 13 50 e8 61 b4 08 00 83
0x00094720,body,gruntzwnd,8b 44 24 08 8b 54 24 04 50 52 e8 f1 87 0a 00 f7
0x00094770,body,gruntzwnd,33 c0 c2 0c 00 90 90 90 90 90 90 90 90 90 90 90
0x00094c80,body,?,33 c0 c2 08 00 90 90 90 90 90 90 90 90 90 90 90
0x00094cc0,body,?,33 c0 c2 0c 00 90 90 90 90 90 90 90 90 90 90 90
0x00094ce0,body,?,33 c0 c2 0c 00 90 90 90 90 90 90 90 90 90 90 90
0x00094d00,body,?,33 c0 c2 0c 00 90 90 90 90 90 90 90 90 90 90 90
0x00094d40,body,?,33 c0 c2 0c 00 90 90 90 90 90 90 90 90 90 90 90
0x000951d0,stdcall-stub,helpstate,b8 01 00 00 00 c2 04 00 90 90 90 90 90 90 90 90
0x000a0d20,stdcall-stub,menustate,b8 01 00 00 00 c2 0c 00 90 90 90 90 90 90 90 90
0x000a9530,body,lightfxrender,33 c0 c2 0c 00 90 90 90 90 90 90 90 90 90 90 90
0x000ab2e0,body,?,a1 bc f3 6b 00 8b 49 38 50 81 c1 a0 01 00 00 e8
